gene,logfoldchange,pval,pval_adj,score
SCN9A,3.424761,0.007362898759428288,0.9269594877670725,2.9135315
TMEM132B,7.4918947,0.007159682099974017,0.9269594877670725,2.911307
ARID5B,2.8616285,0.007392357090495872,0.9269594877670725,2.9103763
ENSG00000287694,4.214252,0.009499254455219831,0.9269594877670725,2.901015
MTUS1,3.8235633,0.009694308842226926,0.9269594877670725,2.8996904
ENSG00000266076,5.0494304,0.010820263566044975,0.9269594877670725,2.8931015
LYST,3.1260664,0.008597203127505526,0.9269594877670725,2.8901162
SCMH1,4.5797257,0.008835104925786262,0.9269594877670725,2.888934
SYN2,3.7364173,0.0077073422773900335,0.9269594877670725,2.883509
SEMA3D,6.1973844,0.011609732327908216,0.9269594877670725,2.8795798
WWC2,5.2599707,0.011252629684103786,0.9269594877670725,2.8766313
UBASH3B,5.74967,0.011073040384154161,0.9269594877670725,2.8739533
B3GAT2,3.4247549,0.00918633926778581,0.9269594877670725,2.8727005
MEG3,10.028288,0.008315688116494949,0.9269594877670725,2.8713403
SLIT2,3.933514,0.009202559672137765,0.9269594877670725,2.843302
ENSG00000288765,4.2203155,0.011513598773437788,0.9269594877670725,2.842107
PTPRJ,3.3466358,0.00890672070911108,0.9269594877670725,2.8393562
PLD5,5.94624,0.011895802823435945,0.9269594877670725,2.8336923
KCNIP1,4.7657337,0.009251289082398936,0.9269594877670725,2.8320346
FOS,5.130844,0.012004449800289805,0.9269594877670725,2.8318768
LINC01965,8.231632,0.009763746135996296,0.9269594877670725,2.8303838
HNRNPA2B1,3.4500303,0.010020314342069455,0.9269594877670725,2.8162532
ZRANB3,3.0017412,0.01039473557798788,0.9269594877670725,2.806088
KITLG,5.687304,0.012847190154970182,0.9269594877670725,2.801343
FHOD3,6.348426,0.009941709158550634,0.9269594877670725,2.7925663
LTBP1,4.208187,0.010079089204138069,0.9269594877670725,2.7910857
GNAQ,5.507764,0.011034016980081454,0.9269594877670725,2.789686
AGO3,2.6852894,0.009724666860513402,0.9269594877670725,2.7865813
ZMAT4,5.0366554,0.012446420172173796,0.9269594877670725,2.7863684
PCDH17,4.7239842,0.012900005837246419,0.9269594877670725,2.782665
ANKRD36,6.0414796,0.010145664342708045,0.9269594877670725,2.781753
RBMS3,5.5639315,0.010915440889246546,0.9269594877670725,2.7795684
KCTD8,9.545435,0.014385157959896889,0.9269594877670725,2.7770734
ZFHX4,3.2886083,0.009949777462821718,0.9269594877670725,2.7745228
SCN2A,3.3788354,0.010693054350567562,0.9269594877670725,2.7742484
EML6,3.4360852,0.01050815131082178,0.9269594877670725,2.765559
FAR2,4.231773,0.01408386986547973,0.9269594877670725,2.7277792
FBXL7,6.2623215,0.01205435827840565,0.9269594877670725,2.7240882
COL27A1,3.5333714,0.012975962426013453,0.9269594877670725,2.7231379
ANK1,4.5103645,0.014825535465308251,0.9269594877670725,2.7204595
ZFAND3,4.604561,0.011805552235887187,0.9269594877670725,2.713956
CNTNAP3B,2.9359987,0.012578461595206716,0.9269594877670725,2.7060442
NCKAP5,5.65334,0.011653170098353247,0.9269594877670725,2.7032032
SLC41A2,2.4183333,0.011640872433749899,0.9269594877670725,2.7030134
BMAL1,3.6165247,0.014915256980956313,0.9269594877670725,2.697735
TMEM132C,5.731816,0.01540690926911181,0.9269594877670725,2.6923568
SLC23A2,2.7163408,0.012751185022854718,0.9269594877670725,2.690145
SMARCC2,2.486526,0.012998485920310875,0.9269594877670725,2.674217
ATP8A1,2.8152177,0.01285853367753424,0.9269594877670725,2.6696067
LINC01414,4.021821,0.015205631521076499,0.9269594877670725,2.6623745
FRMPD3,3.3259556,0.015466486326597405,0.9269594877670725,2.6562338
RIMS2,5.7714777,0.01365034061357949,0.9269594877670725,2.6552029
PCP4,6.1445627,0.018530172284168193,0.9269594877670725,2.6507807
CAMTA1,5.5011625,0.013161615048544288,0.9269594877670725,2.6505075
XPR1,3.675366,0.01351972082248698,0.9269594877670725,2.6500504
ENSG00000236283,4.487033,0.017129193186907168,0.9269594877670725,2.6443295
NCAM1,8.181673,0.0136032398946465,0.9269594877670725,2.6388552
ENSG00000289128,5.3941827,0.014657213112424227,0.9269594877670725,2.6384249
NUP93,2.372517,0.013831121256320779,0.9269594877670725,2.6374536
PRDM16,4.4424844,0.014239929195898731,0.9269594877670725,2.6292117
SUMF1,3.4080281,0.015467625445552372,0.9269594877670725,2.627051
GLI2,2.8609421,0.013883860300588077,0.9269594877670725,2.6256905
HELLS,2.7408044,0.014644306625346076,0.9269594877670725,2.624691
ENSG00000294557,3.242919,0.015758680748241913,0.9269594877670725,2.6213124
COL4A5,3.5499885,0.016305634913184045,0.9269594877670725,2.6171005
POSTN,6.4579105,0.019748566061113547,0.9269594877670725,2.616907
VPS13A,3.0122185,0.01670304188368349,0.9269594877670725,2.614148
LINC02336,7.132376,0.020095505252723123,0.9269594877670725,2.6123242
NEK1,2.543713,0.015043355005619782,0.9269594877670725,2.607671
ENSG00000271192,3.7390847,0.016843849653711683,0.9269594877670725,2.6014614
ZNF43,2.2369425,0.014841124590040835,0.9269594877670725,2.5999424
GAD2,2.88987,0.015274924052740124,0.9269594877670725,2.5960271
STAG3L5P-PVRIG2P-PILRB,2.4656188,0.01608475245777524,0.9269594877670725,2.5950508
DGKI,3.4389343,0.014895353003236292,0.9269594877670725,2.5948777
KLF12,4.3572226,0.01643486435580635,0.9269594877670725,2.5875518
RPN1,3.464257,0.01915073870534294,0.9269594877670725,2.5805936
MIR4500HG,4.0194817,0.019193845713552458,0.9269594877670725,2.573999
CDON,3.0936687,0.016037067454687602,0.9269594877670725,2.5708578
DENND5B,3.5481596,0.017610222277053764,0.9269594877670725,2.5643895
ENSG00000295554,2.5778353,0.01700530436986208,0.9269594877670725,2.5610933
ENSG00000309267,5.43478,0.022011952393230092,0.9269594877670725,2.5566382
STAC,3.9539819,0.020360332067294044,0.9269594877670725,2.5548625
ADCY1,3.2756965,0.016547694398668288,0.9269594877670725,2.553198
ENSG00000298352,3.4533849,0.017262877633864707,0.9269594877670725,2.5526664
RASAL2,3.3514597,0.01739219636256265,0.9269594877670725,2.54778
RFX4,2.6961231,0.01662560441893812,0.9269594877670725,2.5475385
KCNB1,2.4714377,0.017156464399968745,0.9269594877670725,2.547312
RANBP17,2.981593,0.017787184549935407,0.9269594877670725,2.5380971
TMEFF2,4.0477023,0.018829889325273835,0.9269594877670725,2.5373693
VLDLR-AS1,4.3729606,0.019464116092899445,0.9269594877670725,2.533534
TRAF3IP2-AS1,2.9959006,0.01782858133706822,0.9269594877670725,2.5333676
EPHA7,4.983192,0.019176543240002387,0.9269594877670725,2.5331786
PKIA,3.0384624,0.019899119367819067,0.9269594877670725,2.5179956
MAN1A1,4.599998,0.02302974235462968,0.9269594877670725,2.517151
UBXN4,2.4466236,0.019240473960402255,0.9269594877670725,2.516903
RAB28,2.268768,0.01818626781466578,0.9269594877670725,2.5153348
MEGF10,3.135849,0.019658555949085135,0.9269594877670725,2.5142543
CDC42BPA,3.1283395,0.017978189429909735,0.9269594877670725,2.5136688
TBC1D31,3.500851,0.022265297615355926,0.9269594877670725,2.5120046
GOLIM4,3.3098583,0.021790911156635673,0.9269594877670725,2.5099134
RALGAPA1,2.0927725,0.01835270471514748,0.9269594877670725,2.5090435
WNT7B,3.3505995,0.020406375493712145,0.9269594877670725,2.508593
SYN3,8.764432,0.01883489861411651,0.9269594877670725,2.5011914
IQCN,3.13383,0.021730582371800908,0.9269594877670725,2.487591
CNTNAP2,18.19296,0.019190763399853327,0.9269594877670725,2.4869587
SFMBT2,3.8254452,0.0206420417988382,0.9269594877670725,2.4864898
CDS1,4.086606,0.02428516228992486,0.9269594877670725,2.4814806
GABPB1-AS1,2.4374516,0.02027964452130906,0.9269594877670725,2.4810503
BLTP1,2.5506582,0.019852106045830757,0.9269594877670725,2.473647
MAGED2,3.751578,0.024849422196148198,0.9269594877670725,2.4681425
SPTAN1,3.828557,0.020266640586538216,0.9269594877670725,2.4661217
ABLIM3,2.351694,0.020235623710414704,0.9269594877670725,2.465282
PDIA5,2.3842628,0.02110661637037353,0.9269594877670725,2.4610224
BICDL1,2.2769375,0.021516967416975237,0.9269594877670725,2.444198
WASF3,2.712855,0.02324979237944791,0.9269594877670725,2.4424698
SLITRK5,2.1840904,0.02120666802396347,0.9269594877670725,2.4416041
PTGER3,7.6318374,0.028438081970528044,0.9269594877670725,2.438553
PIP5K1A,2.7802982,0.024355988925894998,0.9269594877670725,2.4377286
